,precision,recall,f1-score,support
Норма,0.8455172413793104,0.9401840490797546,0.8903413217138707,652.0
Легкий,0.6655052264808362,0.4910025706940874,0.5650887573964497,389.0
Умеренный,0.6666666666666666,0.6134751773049646,0.6389658356417359,564.0
Тяжелый,0.7238723872387238,0.750285062713797,0.7368421052631579,877.0
Крайне тяжелый,0.9740707162284679,0.981545770144345,0.977793957044048,5473.0
accuracy,0.9025769956002514,0.9025769956002514,0.9025769956002514,0.9025769956002514
macro avg,0.775126447598801,0.7552985259873897,0.7618063954118525,7955.0
weighted avg,0.8990677420499209,0.9025769956002514,0.8998586615844709,7955.0
