Кластер,Норма,Легкий,Умеренный,Тяжелый,Крайне тяжелый
0,0,0,18,915,4221
1,0,0,0,1,7684
2,3259,1946,2803,1985,15
3,0,0,0,0,8260
4,0,0,0,1485,7183
